latitude,longitude,GEOID,County,State_Abbrev,Geo_ID,closest_plant,distance,plant_capacity
32.5349201866,-86.642749235,1001,Autauga County,AL,0500000US01001,Joseph M. Farley Nuclear Plant,128.0,1776.4
30.6609696648,-87.7498400784,1003,Baldwin County,AL,0500000US01003,Joseph M. Farley Nuclear Plant,161.0,1776.4
31.8696032448,-85.3931969755,1005,Barbour County,AL,0500000US01005,Joseph M. Farley Nuclear Plant,48.0,1776.4
32.9986442965,-87.1264391014,1007,Bibb County,AL,0500000US01007,Browns Ferry Nuclear Plant,118.0,3567.5
33.9808673856,-86.5673709608,1009,Blount County,AL,0500000US01009,Browns Ferry Nuclear Plant,59.0,3567.5
32.1005542205,-85.7156972254,1011,Bullock County,AL,0500000US01011,Joseph M. Farley Nuclear Plant,70.0,1776.4
31.7524339429,-86.6802892154,1013,Butler County,AL,0500000US01013,Joseph M. Farley Nuclear Plant,99.0,1776.4
33.7714324565,-85.8260308543,1015,Calhoun County,AL,0500000US01015,Browns Ferry Nuclear Plant,98.0,3567.5
32.9143722298,-85.3920429513,1017,Chambers County,AL,0500000US01017,Joseph M. Farley Nuclear Plant,118.0,1776.4
34.1759559677,-85.6037937156,1019,Cherokee County,AL,0500000US01019,Sequoyah Nuclear Plant,78.0,2441.0
32.847853212,-86.718813672,1021,Chilton County,AL,0500000US01021,Browns Ferry Nuclear Plant,130.0,3567.5
32.0196107831,-88.2632012743,1023,Choctaw County,AL,0500000US01023,Grand Gulf Nuclear Station,163.0,1440.0
31.6766595802,-87.8308098507,1025,Clarke County,AL,0500000US01025,Joseph M. Farley Nuclear Plant,163.0,1776.4
33.2690858673,-85.8605470841,1027,Clay County,AL,0500000US01027,Browns Ferry Nuclear Plant,123.0,3567.5
33.6745577167,-85.5187680028,1029,Cleburne County,AL,0500000US01029,Sequoyah Nuclear Plant,110.0,2441.0
31.4026271796,-85.9882069262,1031,Coffee County,AL,0500000US01031,Joseph M. Farley Nuclear Plant,53.0,1776.4
34.7004337984,-87.8049852867,1033,Colbert County,AL,0500000US01033,Browns Ferry Nuclear Plant,39.0,3567.5
31.4292715445,-86.9936742092,1035,Conecuh County,AL,0500000US01035,Joseph M. Farley Nuclear Plant,112.0,1776.4
32.9362268304,-86.2476592648,1037,Coosa County,AL,0500000US01037,Browns Ferry Nuclear Plant,132.0,3567.5
31.2484923988,-86.4512425439,1039,Covington County,AL,0500000US01039,Joseph M. Farley Nuclear Plant,79.0,1776.4
31.7315001844,-86.3135388959,1041,Crenshaw County,AL,0500000US01041,Joseph M. Farley Nuclear Plant,79.0,1776.4
34.1319410705,-86.8676194614,1043,Cullman County,AL,0500000US01043,Browns Ferry Nuclear Plant,42.0,3567.5
31.4318270699,-85.6110368183,1045,Dale County,AL,0500000US01045,Joseph M. Farley Nuclear Plant,33.0,1776.4
32.325973709,-87.1064763258,1047,Dallas County,AL,0500000US01047,Joseph M. Farley Nuclear Plant,140.0,1776.4
34.4597729557,-85.8041426436,1049,DeKalb County,AL,0500000US01049,Sequoyah Nuclear Plant,67.0,2441.0
32.5966480504,-86.1491465307,1051,Elmore County,AL,0500000US01051,Joseph M. Farley Nuclear Plant,113.0,1776.4
31.1261225461,-87.1616198682,1053,Escambia County,AL,0500000US01053,Joseph M. Farley Nuclear Plant,121.0,1776.4
34.0452544,-86.034762324,1055,Etowah County,AL,0500000US01055,Browns Ferry Nuclear Plant,77.0,3567.5
33.7212061505,-87.7388619701,1057,Fayette County,AL,0500000US01057,Browns Ferry Nuclear Plant,77.0,3567.5
34.4416706415,-87.8438119782,1059,Franklin County,AL,0500000US01059,Browns Ferry Nuclear Plant,45.0,3567.5
31.095016693,-85.8389848955,1061,Geneva County,AL,0500000US01061,Joseph M. Farley Nuclear Plant,44.0,1776.4
32.8531388427,-87.9522309156,1063,Greene County,AL,0500000US01063,Browns Ferry Nuclear Plant,137.0,3567.5
32.7626642246,-87.6291176816,1065,Hale County,AL,0500000US01065,Browns Ferry Nuclear Plant,137.0,3567.5
31.5146944202,-85.2414063367,1067,Henry County,AL,0500000US01067,Joseph M. Farley Nuclear Plant,22.0,1776.4
31.1531879718,-85.3025273835,1069,Houston County,AL,0500000US01069,Joseph M. Farley Nuclear Plant,12.0,1776.4
34.7794159964,-85.9993005443,1071,Jackson County,AL,0500000US01071,Sequoyah Nuclear Plant,60.0,2441.0
33.5543385118,-86.8963982424,1073,Jefferson County,AL,0500000US01073,Browns Ferry Nuclear Plant,80.0,3567.5
33.7792058021,-88.0968988585,1075,Lamar County,AL,0500000US01075,Browns Ferry Nuclear Plant,85.0,3567.5
34.901372384,-87.6539980067,1077,Lauderdale County,AL,0500000US01077,Browns Ferry Nuclear Plant,33.0,3567.5
34.5216520166,-87.311044513,1079,Lawrence County,AL,0500000US01079,Browns Ferry Nuclear Plant,17.0,3567.5
32.6011364841,-85.355562704,1081,Lee County,AL,0500000US01081,Joseph M. Farley Nuclear Plant,96.0,1776.4
34.8100783219,-86.9813747654,1083,Limestone County,AL,0500000US01083,Browns Ferry Nuclear Plant,11.0,3567.5
32.1547500095,-86.6501076967,1085,Lowndes County,AL,0500000US01085,Joseph M. Farley Nuclear Plant,111.0,1776.4
32.3859736952,-85.6926686622,1087,Macon County,AL,0500000US01087,Joseph M. Farley Nuclear Plant,87.0,1776.4
34.7630897031,-86.5502065185,1089,Madison County,AL,0500000US01089,Browns Ferry Nuclear Plant,33.0,3567.5
32.2476134122,-87.7895192944,1091,Marengo County,AL,0500000US01091,Joseph M. Farley Nuclear Plant,173.0,1776.4
34.1365496957,-87.8871383639,1093,Marion County,AL,0500000US01093,Browns Ferry Nuclear Plant,59.0,3567.5
34.3669621021,-86.306636969,1095,Marshall County,AL,0500000US01095,Browns Ferry Nuclear Plant,52.0,3567.5
30.6851516211,-88.1975233535,1097,Mobile County,AL,0500000US01097,Waterford Steam Electric Station,144.0,1199.8
31.5708340246,-87.3654375115,1099,Monroe County,AL,0500000US01099,Joseph M. Farley Nuclear Plant,135.0,1776.4
32.2202579876,-86.2076142923,1101,Montgomery County,AL,0500000US01101,Joseph M. Farley Nuclear Plant,94.0,1776.4
34.453472028,-86.8529215684,1103,Morgan County,AL,0500000US01103,Browns Ferry Nuclear Plant,23.0,3567.5
